cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,roles_mix,sum_kzt_in_external,sum_kzt_out_external,stability,isolated_fragment,max_priority
0,19,19,0.0,100000000456947100;100000003265658100;100000003349739100;100000003770083100;100000004021459100,"19 seed без внутрибанковских переводов ≥5 000 ₸ за июль: вероятны наличные, другие банки или суммы ниже порога — запросить иные каналы.",Периферия: 19,0.0,0.0,1.0,False,0.0986
1,253,1,27271963.39,100000002398779100;100000004070318100;100000008686313100;100000008477350100;100000006866783100,"Признаки управляющего ядра: координатор …4070318100 (от 4 плательщиков, 19 получателей, 759 тыс ₸); признаки fan-out payouts: …4351795100 → 14 получателей (1,72 млн ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 109, Периферия: 74, Транзит: 47, Консолидатор: 14, Координатор: 6, Распределитель: 3",5253524.55,6563001.54,0.906,False,0.8158
2,128,0,27235142.0,100000008489922100;100000008547948100;100000008710791100;100000008547844100;100000008466579100,"Признаки funnel account (воронка): …2718366100 собирает от 6 плательщиков (2,52 млн ₸); признаки fan-out payouts: …8489922100 → 36 получателей (3,79 млн ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 76, Периферия: 22, Транзит: 16, Распределитель: 8, Консолидатор: 6",1938227.0,3284795.0,0.725,False,0.7563
3,126,0,24907250.33,100000000331309100;100000003796063100;100000006889963100;100000000332284100;100000003741418100,"Признаки управляющего ядра: координатор …0331309100 (от 5 плательщиков, 99 получателей, 23,99 млн ₸); признаки fan-out payouts: …3796063100 → 15 получателей (959 тыс ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 78, Периферия: 21, Транзит: 18, Консолидатор: 7, Координатор: 1, Распределитель: 1",4011966.75,5625010.0,0.958,False,0.8558
4,17,1,21586840.0,100000002224132100;100000001965374100;100000004892144100;100000000552584100;100000005820746100,"Признаки funnel account (воронка): …2224132100 собирает от 5 плательщиков (3,95 млн ₸), в кластере 1 seed.","Конечный получатель: 8, Транзит: 5, Периферия: 3, Консолидатор: 1",17000.0,0.0,1.0,False,0.7216
5,152,3,19885490.0,100000008165763100;100000008304139100;100000003684369100;100000008748914100;100000000089154100,"Признаки управляющего ядра: координатор …3684369100 (от 24 плательщиков, 62 получателей, 12,44 млн ₸); признаки funnel account (воронка): …8165763100 собирает от 15 плательщиков (1,17 млн ₸), в кластере 3 seed.","Конечный получатель: 77, Периферия: 39, Транзит: 23, Консолидатор: 6, Распределитель: 6, Координатор: 1",4080836.74,4839007.0,0.928,False,0.8866
6,131,7,18913780.28,100000005287097100;100000008636603100;100000006518161100;100000003016635100;100000001530983100,"Признаки управляющего ядра: координатор …8636603100 (от 2 плательщиков, 6 получателей, 195 тыс ₸); признаки funnel account (воронка): …8144528100 собирает от 5 плательщиков (1,07 млн ₸), в кластере 7 seed.","Конечный получатель: 55, Периферия: 40, Транзит: 30, Консолидатор: 3, Координатор: 2, Распределитель: 1",1214827.0,946297.0,0.974,False,0.7841
7,106,4,16242879.02,100000004015047100;100000005782781100;100000008748408100;100000003923946100;100000000267734100,"Признаки funnel account (воронка): …4015047100 собирает от 9 плательщиков (919 тыс ₸), в кластере 4 seed; признаки fan-out payouts: …7747786100 → 31 получателей (4,24 млн ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 50, Транзит: 24, Периферия: 21, Консолидатор: 9, Распределитель: 2",1923621.8,1071317.4,0.75,False,0.8323
8,126,0,14788037.85,100000008603629100;100000005910114100;100000003880331100;100000001857829100;100000007639767100,"Признаки управляющего ядра: координатор …8603629100 (от 19 плательщиков, 61 получателей, 6,80 млн ₸); признаки fan-out payouts: …3880331100 → 16 получателей (3,90 млн ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 61, Периферия: 32, Транзит: 24, Консолидатор: 5, Координатор: 2, Распределитель: 2",2977670.0,5284991.8,0.738,False,0.864
9,51,0,13990812.0,100000005242320100;100000008742053100;100000008512827100;100000002748180100;100000003054328100,"Признаки funnel account (воронка): …1282143100 собирает от 5 плательщиков (1,70 млн ₸); признаки fan-out payouts: …5242320100 → 21 получателей (8,94 млн ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 35, Периферия: 7, Транзит: 5, Распределитель: 3, Консолидатор: 1",1663545.0,1246800.0,0.963,False,0.6613
10,44,0,10215968.84,100000005933757100;100000001937767100;100000004159526100;100000002605308100;100000002963189100,"Признаки управляющего ядра: координатор …5933757100 (от 4 плательщиков, 34 получателей, 4,25 млн ₸).","Конечный получатель: 21, Периферия: 14, Транзит: 7, Координатор: 1, Консолидатор: 1",243701.0,527149.0,1.0,False,0.722
11,270,1,10178044.0,100000002578405100;100000001697501100;100000002527114100;100000002733905100;100000001166289100,"Изолированный фрагмент (нет связи с основной сетью). Признаки fan-out payouts: …2578405100 → 116 получателей (3,11 млн ₸) — возможны выплаты участникам/обналичивание.","Периферия: 175, Конечный получатель: 84, Транзит: 8, Распределитель: 3",0.0,0.0,1.0,True,0.8184
12,91,1,9080395.26,100000005704413100;100000005578559100;100000002838861100;100000006972210100;100000008545727100,"Признаки funnel account (воронка): …2838861100 собирает от 5 плательщиков (555 тыс ₸), в кластере 1 seed; признаки fan-out payouts: …5704413100 → 32 получателей (1,36 млн ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 41, Периферия: 31, Транзит: 12, Распределитель: 4, Консолидатор: 3",974273.0,1172856.0,0.68,False,0.7383
