cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,roles_mix,sum_kzt_in_external,sum_kzt_out_external,stability,isolated_fragment,max_priority
13,25,0,7556605.0,100000008710843100;100000008743913100;100000001303311100;100000001887715100;100000008758168100,"Признаки funnel account (воронка): …1303311100 собирает от 5 плательщиков (1,32 млн ₸); признаки fan-out payouts: …8710843100 → 13 получателей (1,99 млн ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 13, Транзит: 6, Периферия: 3, Распределитель: 2, Консолидатор: 1",1134629.0,743780.0,0.967,False,0.6217
14,59,1,6772097.0,100000003115284100;100000008730846100;100000000343175100;100000006707582100;100000004677680100,"Признаки управляющего ядра: координатор …0343175100 (от 8 плательщиков, 31 получателей, 4,18 млн ₸); признаки fan-out payouts: …6707582100 → 14 получателей (961 тыс ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 27, Периферия: 14, Транзит: 10, Консолидатор: 6, Координатор: 1, Распределитель: 1",2191959.0,719155.0,0.755,False,0.8218
15,13,0,6748650.0,100000007442518100;100000008258083100;100000000673868100;100000000821507100;100000002911170100,Признаки funnel account (воронка): …7442518100 собирает от 5 плательщиков (510 тыс ₸).,"Конечный получатель: 9, Периферия: 2, Консолидатор: 1, Транзит: 1",395000.0,99999.0,1.0,False,0.6792
16,30,1,6513430.0,100000007594394100;100000006274203100;100000003854444100;100000008546855100;100000008647905100,"Признаки funnel account (воронка): …7594394100 собирает от 6 плательщиков (395 тыс ₸), в кластере 1 seed; признаки fan-out payouts: …3854444100 → 14 получателей (2,32 млн ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 16, Транзит: 7, Периферия: 4, Консолидатор: 2, Распределитель: 1",436127.0,147115.0,1.0,False,0.7079
17,41,0,5151924.19,100000003242289100;100000008413748100;100000008512552100;100000003964910100;100000006225798100,"Признаки funnel account (воронка): …8512552100 собирает от 4 плательщиков (394 тыс ₸); признаки fan-out payouts: …3242289100 → 23 получателей (2,38 млн ₸) — возможны выплаты участникам/обналичивание.","Периферия: 20, Конечный получатель: 16, Распределитель: 2, Транзит: 2, Консолидатор: 1",919297.0,661478.3,0.973,False,0.7188
18,25,0,5089597.0,100000005527892100;100000006977207100;100000002531406100;100000002459832100;100000008343874100,"Признаки fan-out payouts: …6977207100 → 15 получателей (4,16 млн ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 18, Транзит: 5, Распределитель: 1, Периферия: 1",1109352.0,505240.0,0.588,False,0.6211
19,41,3,4888834.28,100000004156082100;100000005339662100;100000004820260100;100000004527381100;100000008188026100,"Признаки funnel account (воронка): …5339662100 собирает от 4 плательщиков (203 тыс ₸), в кластере 3 seed; признаки fan-out payouts: …4156082100 → 26 получателей (2,32 млн ₸) — возможны выплаты участникам/обналичивание.","Периферия: 15, Конечный получатель: 14, Транзит: 10, Распределитель: 1, Консолидатор: 1",254329.0,315760.0,0.937,False,0.7618
20,7,3,4442461.0,100000008637537100;100000001732159100;100000003404627100;100000008314203100;100000002681449100,"Признаки funnel account (воронка): …3404627100 собирает от 4 плательщиков (878 тыс ₸), в кластере 3 seed.","Консолидатор: 4, Периферия: 2, Транзит: 1",255338.0,13000.0,0.617,False,0.7109
21,52,5,4171441.0,100000008346837100;100000008733194100;100000005074393100;100000008003034100;100000004877085100,"Признаки управляющего ядра: координатор …8346837100 (от 9 плательщиков, 25 получателей, 1,51 млн ₸); признаки funnel account (воронка): …5074393100 собирает от 4 плательщиков (563 тыс ₸), в кластере 5 seed.","Периферия: 18, Конечный получатель: 16, Транзит: 15, Координатор: 2, Консолидатор: 1",813305.0,354797.0,0.922,False,0.834
22,11,0,3784703.0,100000002175422100;100000003004487100;100000002975437100;100000001317336100;100000005042822100,Признаки funnel account (воронка): …3004487100 собирает от 4 плательщиков (184 тыс ₸).,"Конечный получатель: 6, Транзит: 2, Периферия: 2, Консолидатор: 1",68702.8,0.0,1.0,False,0.6316
23,15,0,3626010.0,100000008461532100;100000000791285100;100000006704530100;100000003122817100;100000003470579100,Периферия: 9 конечных получателей и 2 разовых контактов без признаков дальнейшего движения.,"Конечный получатель: 9, Транзит: 4, Периферия: 2",5300.0,0.0,1.0,False,0.7124
24,15,0,3436955.0,100000005171642100;100000002152857100;100000004221668100;100000006240939100;100000006664478100,"Признаки funnel account (воронка): …4221668100 собирает от 4 плательщиков (1,13 млн ₸); признаки pass-through / money mule layering: 40% узлов пропускают деньги дальше — возможен прогон для разрыва следа.","Транзит: 6, Конечный получатель: 5, Консолидатор: 2, Периферия: 2",541373.0,190000.0,0.697,False,0.7102
25,18,0,3422800.0,100000003701161100;100000008137435100;100000003718221100;100000002267998100;100000001063678100,"Признаки funnel account (воронка): …3701161100 собирает от 4 плательщиков (1,53 млн ₸).","Конечный получатель: 8, Транзит: 5, Периферия: 4, Консолидатор: 1",302009.0,51400.0,1.0,False,0.7279
26,7,0,3077000.0,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100,Периферия: 2 конечных получателей и 3 разовых контактов без признаков дальнейшего движения.,"Периферия: 3, Транзит: 2, Конечный получатель: 2",280000.0,0.0,1.0,False,0.5411
27,17,1,2977887.0,100000002731501100;100000004160650100;100000004005964100;100000003616818100;100000004144536100,"Изолированный фрагмент (нет связи с основной сетью). Признаки funnel account (воронка): …4144536100 собирает от 4 плательщиков (168 тыс ₸), в кластере 1 seed; признаки fan-out payouts: …4160650100 → 10 получателей (1,49 млн ₸) — возможны выплаты участникам/обналичивание.","Периферия: 6, Конечный получатель: 5, Транзит: 4, Распределитель: 1, Консолидатор: 1",0.0,0.0,1.0,True,0.7377
28,51,1,2950313.0,100000003265158100;100000001899164100;100000002193259100;100000000933075100;100000000831684100,"Признаки funnel account (воронка): …1899164100 собирает от 4 плательщиков (292 тыс ₸), в кластере 1 seed; признаки fan-out payouts: …8680731100 → 27 получателей (1,46 млн ₸) — возможны выплаты участникам/обналичивание.","Конечный получатель: 22, Периферия: 15, Транзит: 11, Консолидатор: 2, Распределитель: 1",270343.4,121771.0,0.985,False,0.6434
29,5,1,2809200.0,100000004135268100;100000002738256100;100000008571433100;100000007507343100;100000004979498100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 60% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 3, Конечный получатель: 1, Периферия: 1",0.0,0.0,1.0,True,0.7696
30,6,0,2540000.0,100000004717647100;100000002922000100;100000004479404100;100000002659103100;100000001533161100,Периферия: 4 конечных получателей и 1 разовых контактов без признаков дальнейшего движения.,"Конечный получатель: 4, Транзит: 1, Периферия: 1",12000.0,0.0,1.0,False,0.6265
31,6,0,2534500.0,100000003747133100;100000004722765100;100000005075949100;100000006527156100;100000002578653100,Признаки funnel account (воронка): …3747133100 собирает от 5 плательщиков (237 тыс ₸); признаки pass-through / money mule layering: 33% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 2, Периферия: 2, Консолидатор: 1, Конечный получатель: 1",237068.0,0.0,1.0,False,0.5721
32,8,0,2473417.91,100000004906181100;100000008175078100;100000008675322100;100000000557536100;100000008349740100,Признаки pass-through / money mule layering: 38% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 3, Конечный получатель: 3, Периферия: 2",100000.0,0.0,1.0,False,0.6143
33,26,14,2289450.0,100000005382566100;100000004403675100;100000004041163100;100000008254069100;100000003823811100,"Признаки управляющего ядра: координатор …3823811100 (от 1 плательщиков, 3 получателей, 96 тыс ₸); признаки funnel account (воронка): …5382566100 собирает от 7 плательщиков (393 тыс ₸), в кластере 14 seed.","Транзит: 15, Конечный получатель: 6, Консолидатор: 2, Периферия: 2, Координатор: 1",203680.0,101495.0,1.0,False,0.7703
34,7,0,1765600.0,100000007392365100;100000007865484100;100000008551752100;100000003631015100;100000004976946100,Периферия: 6 конечных получателей и 0 разовых контактов без признаков дальнейшего движения.,"Конечный получатель: 6, Транзит: 1",9613.0,0.0,1.0,False,0.5326
35,10,0,1727065.0,100000004076740100;100000005519998100;100000004336312100;100000004017410100;100000005767403100,Признаки pass-through / money mule layering: 50% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 5, Конечный получатель: 3, Периферия: 2",46250.0,8000.0,1.0,False,0.651
36,6,1,1615030.0,100000008193577100;100000005456919100;100000008659445100;100000008736940100;100000008751429100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 33% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Периферия: 3, Транзит: 2, Конечный получатель: 1",0.0,0.0,1.0,True,0.6715
37,14,0,1605604.0,100000008213966100;100000007382543100;100000003001661100;100000000838385100;100000002860934100,Периферия: 3 конечных получателей и 7 разовых контактов без признаков дальнейшего движения.,"Периферия: 7, Транзит: 4, Конечный получатель: 3",31000.0,0.0,1.0,False,0.6344
38,4,0,1595700.0,100000001052945100;100000001131403100;100000004616845100;100000005146665100,Периферия: 2 конечных получателей и 1 разовых контактов без признаков дальнейшего движения.,"Конечный получатель: 2, Транзит: 1, Периферия: 1",56520.0,0.0,1.0,False,0.5258
39,3,0,1557988.0,100000008258458100;100000004035925100;100000008619159100,Признаки pass-through / money mule layering: 33% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Конечный получатель: 2, Транзит: 1",19000.0,0.0,1.0,False,0.5952
40,6,1,1527967.0,100000007939160100;100000005183943100;100000000580561100;100000003888271100;100000007930878100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 33% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Конечный получатель: 2, Транзит: 2, Периферия: 2",0.0,0.0,1.0,True,0.6659
41,9,0,1406982.0,100000002217161100;100000001445848100;100000007647294100;100000002242066100;100000008254576100,Признаки pass-through / money mule layering: 33% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 3, Конечный получатель: 3, Периферия: 3",52900.0,0.0,1.0,False,0.666
42,4,1,1404980.0,100000001872484100;100000008601794100;100000000785800100;100000002459163100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 75% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 3, Периферия: 1",0.0,0.0,1.0,True,0.6532
43,13,1,1392916.0,100000001380054100;100000003164661100;100000006232815100;100000001782980100;100000005077484100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 38% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 5, Конечный получатель: 4, Периферия: 4",0.0,0.0,1.0,True,0.644
44,7,0,1268308.0,100000006169033100;100000006232642100;100000008011159100;100000003664994100;100000005754335100,Периферия: 4 конечных получателей и 2 разовых контактов без признаков дальнейшего движения.,"Конечный получатель: 4, Периферия: 2, Транзит: 1",17000.0,25000.0,1.0,False,0.5508
45,5,0,1189154.0,100000004670388100;100000000291906100;100000000291908100;100000004722630100;100000004691350100,Признаки pass-through / money mule layering: 40% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 2, Конечный получатель: 2, Периферия: 1",8000.0,0.0,1.0,False,0.6369
46,2,0,857500.0,100000008324800100;100000007390016100,Признаки pass-through / money mule layering: 100% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,Транзит: 2,180000.0,0.0,1.0,False,0.7226
47,15,0,850450.0,100000001526235100;100000001788284100;100000002472632100;100000005505655100;100000002984403100,Признаки pass-through / money mule layering: 33% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Периферия: 6, Транзит: 5, Конечный получатель: 4",13070.0,0.0,1.0,False,0.5935
48,4,0,832800.0,100000003159641100;100000008625905100;100000001065234100;100000002194320100,Признаки funnel account (воронка): …3159641100 собирает от 4 плательщиков (64 тыс ₸).,"Конечный получатель: 2, Консолидатор: 1, Транзит: 1",64000.0,0.0,0.456,False,0.5622
49,2,0,761255.0,100000000583220100;100000004586598100,Признаки pass-through / money mule layering: 50% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 1, Конечный получатель: 1",5000.0,0.0,0.904,False,0.5734
50,6,0,720900.0,100000008761219100;100000007472293100;100000006638021100;100000008333492100;100000002794374100,Признаки pass-through / money mule layering: 33% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Конечный получатель: 3, Транзит: 2, Периферия: 1",55000.0,0.0,1.0,False,0.5345
51,3,0,627870.0,100000008628231100;100000004666651100;100000005664632100,Признаки pass-through / money mule layering: 33% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Конечный получатель: 2, Транзит: 1",50000.0,0.0,1.0,False,0.5603
52,20,0,617900.0,100000003154105100;100000002448088100;100000001427082100;100000002185328100;100000006308406100,Периферия: 6 конечных получателей и 9 разовых контактов без признаков дальнейшего движения.,"Периферия: 9, Конечный получатель: 6, Транзит: 5",16800.0,0.0,1.0,False,0.593
53,10,0,603900.0,100000003635170100;100000004209339100;100000002696152100;100000005602999100;100000008501413100,Признаки pass-through / money mule layering: 50% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 5, Периферия: 3, Конечный получатель: 2",25000.0,0.0,0.675,False,0.7333
54,2,0,584900.0,100000008430691100;100000007330432100,Признаки pass-through / money mule layering: 50% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 1, Конечный получатель: 1",20000.0,20000.0,0.841,False,0.6032
55,3,0,553830.0,100000003321895100;100000003692843100;100000002371892100,Признаки pass-through / money mule layering: 33% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Конечный получатель: 2, Транзит: 1",24000.0,0.0,0.862,False,0.503
56,4,0,518000.0,100000002205022100;100000003163886100;100000000629812100;100000001380107100,Периферия: 2 конечных получателей и 1 разовых контактов без признаков дальнейшего движения.,"Конечный получатель: 2, Транзит: 1, Периферия: 1",17100.0,0.0,1.0,False,0.5723
57,3,1,450816.0,100000007283257100;100000005034574100;100000004388983100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 33% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Конечный получатель: 2, Транзит: 1",0.0,0.0,1.0,True,0.4846
58,3,1,450000.0,100000002371751100;100000000769919100;100000007018630100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 67% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 2, Конечный получатель: 1",0.0,0.0,1.0,True,0.6719
59,29,0,446070.0,100000008460102100;100000004891562100;100000002706810100;100000008715513100;100000002670463100,Признаки fan-out payouts: …8460102100 → 31 получателей (477 тыс ₸) — возможны выплаты участникам/обналичивание.,"Периферия: 21, Конечный получатель: 7, Распределитель: 1",23900.0,30500.0,0.631,False,0.6771
60,3,1,390167.62,100000002781227100;100000002796853100;100000008522127100,Признаки pass-through / money mule layering: 67% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 2, Периферия: 1",0.0,13420.0,1.0,False,0.649
61,8,0,389000.0,100000005507142100;100000002612809100;100000005264874100;100000001825934100;100000002214207100,Признаки pass-through / money mule layering: 50% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 4, Конечный получатель: 3, Периферия: 1",23000.0,0.0,1.0,False,0.5238
62,6,1,383300.0,100000004094958100;100000004331458100;100000005547096100;100000005363908100;100000005546031100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 67% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 4, Конечный получатель: 1, Периферия: 1",0.0,0.0,1.0,True,0.5537
63,4,0,332709.0,100000002513028100;100000004610802100;100000002516862100;100000004780083100,Признаки pass-through / money mule layering: 75% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 3, Периферия: 1",9500.0,0.0,1.0,False,0.4869
64,10,0,322010.0,100000008172352100;100000007322059100;100000000993112100;100000002691858100;100000004552204100,Периферия: 3 конечных получателей и 5 разовых контактов без признаков дальнейшего движения.,"Периферия: 5, Конечный получатель: 3, Транзит: 2",90265.0,12920.0,0.823,False,0.6448
65,6,1,275885.0,100000005895525100;100000002462183100;100000005485830100;100000007175718100;100000005056870100,Изолированный фрагмент (нет связи с основной сетью). Периферия: 2 конечных получателей и 3 разовых контактов без признаков дальнейшего движения.,"Периферия: 3, Конечный получатель: 2, Транзит: 1",0.0,0.0,1.0,True,0.4611
66,5,0,172000.0,100000005031696100;100000002700161100;100000001223977100;100000004659919100;100000008461217100,Признаки pass-through / money mule layering: 40% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 2, Периферия: 2, Конечный получатель: 1",5000.0,0.0,1.0,False,0.5202
67,7,0,143000.0,100000004508696100;100000005911352100;100000000507799100;100000004549591100;100000002217806100,Признаки pass-through / money mule layering: 43% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 3, Конечный получатель: 2, Периферия: 2",5132.0,0.0,1.0,False,0.5444
68,5,2,108007.0,100000006562026100;100000006249740100;100000007347733100;100000006831291100;100000008129393100,"Изолированный фрагмент (нет связи с основной сетью). Признаки funnel account (воронка): …6562026100 собирает от 2 плательщиков (75 тыс ₸), в кластере 2 seed; признаки pass-through / money mule layering: 40% узлов пропускают деньги дальше — возможен прогон для разрыва следа.","Транзит: 2, Периферия: 2, Консолидатор: 1",0.0,0.0,1.0,True,0.5337
69,2,1,81465.0,100000003865939100;100000005392290100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 50% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Конечный получатель: 1, Транзит: 1",0.0,0.0,1.0,True,0.4564
70,4,1,79050.0,100000003148220100;100000006888238100;100000001852140100;100000004971871100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 50% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Транзит: 2, Конечный получатель: 1, Периферия: 1",0.0,0.0,1.0,True,0.5865
71,2,1,30000.0,100000003980083100;100000003200071100,Изолированный фрагмент (нет связи с основной сетью). Признаки pass-through / money mule layering: 50% узлов пропускают деньги дальше — возможен прогон для разрыва следа.,"Конечный получатель: 1, Транзит: 1",0.0,0.0,1.0,True,0.3999
